Timestep,Teaser_mtg_zone_air_temp_v2
12975000.00,292.2761962
12975300.00,292.2761962
12975600.00,292.2761962
12975900.00,292.2761962
12976200.00,292.2761962
12976500.00,292.2761962
12976800.00,292.2761962
12977100.00,292.2761962
12977400.00,292.2761962
12977700.00,292.2761962
12978000.00,292.2726968
12978300.00,292.2692068
12978600.00,292.2657431
12978900.00,292.2623163
12979200.00,292.2589438
12979500.00,292.2463894
12979800.00,292.2434577
12980100.00,292.2434577
12980400.00,292.2434577
12980700.00,292.2434577
12981000.00,292.2434577
12981300.00,292.2434577
12981600.00,292.2405804
12981900.00,292.2405804
12982200.00,292.2377404
12982500.00,292.2349196
12982800.00,292.2320994
12983100.00,292.2320994
12983400.00,292.2320994
12983700.00,292.2320994
12984000.00,292.2320994
12984300.00,292.2320994
12984600.00,292.2320994
12984900.00,292.2320994
12985200.00,292.2320994
12985500.00,292.2320994
12985800.00,292.2320994
12986100.00,292.2320994
12986400.00,292.2320994
12986700.00,292.2292604
12987000.00,292.2263827
12987300.00,292.2234581
12987600.00,292.2205137
12987900.00,292.2175641
12988200.00,292.2175641
12988500.00,292.2175641
12988800.00,292.2175641
12989100.00,292.2116608
12989400.00,292.2116608
12989700.00,292.2087042
12990000.00,292.2027651
12990300.00,292.1997748
12990600.00,292.1967652
12990900.00,292.193732
12991200.00,292.193732
12991500.00,292.193732
12991800.00,292.193732
12992100.00,292.193732
12992400.00,292.193732
12992700.00,292.193732
12993000.00,292.193732
12993300.00,292.193732
12993600.00,292.193732
12993900.00,292.193732
12994200.00,292.193732
12994500.00,292.1906707
12994800.00,292.1906707
12995100.00,292.1906707
12995400.00,292.1906707
12995700.00,292.1906707
12996000.00,292.1906707
12996300.00,292.1906707
12996600.00,292.1906707
12996900.00,292.1906707
12997200.00,292.1906707
12997500.00,292.1906707
12997800.00,292.1906707
12998100.00,292.1906707
12998400.00,292.1906707
12998700.00,292.1875747
12999000.00,292.1875747
12999300.00,292.1875747
12999600.00,292.1875747
12999900.00,292.1875747
13000200.00,292.1875747
13000500.00,292.1875747
13000800.00,292.1875747
13001100.00,292.1875747
13001400.00,292.1875747
13001700.00,292.1875747
13002000.00,292.1875747
13002300.00,292.1875747
13002600.00,292.1875747
13002900.00,292.1875747
13003200.00,292.1875747
13003500.00,292.1875747
13003800.00,292.1875747
13004100.00,292.184435
13004400.00,292.184435
13004700.00,292.1812504
13005000.00,292.1812504
13005300.00,292.1812504
13005600.00,292.1812504
13005900.00,292.1812504
13006200.00,292.1812504
13006500.00,292.1812504
13006800.00,292.1812504
13007100.00,292.1812504
13007400.00,292.1812504
13007700.00,292.1812504
13008000.00,292.1812504
13008300.00,292.1812504
13008600.00,292.1812504
13008900.00,292.1812504
13009200.00,292.1812504
13009500.00,292.1812504
13009800.00,292.1812504
13010100.00,292.1812504
13010400.00,292.1812504
13010700.00,292.1812504
13011000.00,292.1812504
13011300.00,292.1812504
13011600.00,292.1812504
13011900.00,292.1812504
13012200.00,292.1812504
13012500.00,292.1780243
13012800.00,292.1747624
13013100.00,292.1747624
13013400.00,292.1747624
13013700.00,292.1747624
13014000.00,292.1747624
13014300.00,292.1747624
13014600.00,292.1747624
13014900.00,292.1747624
13015200.00,292.1747624
13015500.00,292.1747624
13015800.00,292.1747624
13016100.00,292.1747624
13016400.00,292.1747624
13016700.00,292.1747624
13017000.00,292.1747624
13017300.00,292.1747624
13017600.00,292.1747624
13017900.00,292.1747624
13018200.00,292.1747624
13018500.00,292.1747624
13018800.00,292.1747624
13019100.00,292.1714713
13019400.00,292.168433
13019700.00,292.168433
13020000.00,292.168433
13020300.00,292.168433
13020600.00,292.168433
13020900.00,292.168433
13021200.00,292.168433
13021500.00,292.168433
13021800.00,292.168433
13022100.00,292.168433
13022400.00,292.168433
13022700.00,292.168433
13023000.00,292.168433
13023300.00,292.168433
13023600.00,292.168433
13023900.00,292.168433
13024200.00,292.168433
13024500.00,292.1665627
13024800.00,292.1662293
13025100.00,292.1662293
13025400.00,292.1662293
13025700.00,292.1662293
13026000.00,292.1662293
13026300.00,292.1662293
13026600.00,292.1662293
13026900.00,292.1662293
13027200.00,292.1674258
13027500.00,292.1699968
13027800.00,292.1699968
13028100.00,292.1699968
13028400.00,292.1699968
13028700.00,292.1699968
13029000.00,292.1699968
13029300.00,292.1699968
13029600.00,292.1699968
13029900.00,292.1699968
13030200.00,292.1699968
13030500.00,292.1699968
13030800.00,292.1699968
13031100.00,292.1699968
13031400.00,292.1699968
13031700.00,292.1699968
13032000.00,292.1699968
13032300.00,292.1699968
13032600.00,292.1699968
13032900.00,292.1699968
13033200.00,292.1699968
13033500.00,292.1699968
13033800.00,292.1699968
13034100.00,292.1699968
13034400.00,292.1699968
13034700.00,292.1699968
13035000.00,292.1699968
13035300.00,292.1699968
13035600.00,292.1699968
13035900.00,292.1699968
13036200.00,292.1699968
13036500.00,292.1699968
13036800.00,292.1699968
13037100.00,292.1699968
13037400.00,292.1699968
13037700.00,292.1699968
13038000.00,292.1699968
13038300.00,292.1699968
13038600.00,292.1699968
13038900.00,292.1699968
13039200.00,292.1737251
13039500.00,292.178366
13039800.00,292.178366
13040100.00,292.178366
13040400.00,292.178366
13040700.00,292.178366
13041000.00,292.178366
13041300.00,292.178366
13041600.00,292.178366
13041900.00,292.178366
13042200.00,292.178366
13042500.00,292.178366
13042800.00,292.178366
13043100.00,292.178366
13043400.00,292.178366
13043700.00,292.178366
13044000.00,292.178366
13044300.00,292.178366
13044600.00,292.178366
13044900.00,292.178366
13045200.00,292.178366
13045500.00,292.178366
13045800.00,292.183656
13046100.00,292.183656
13046400.00,292.1896424
13046700.00,292.1896424
13047000.00,292.1896424
13047300.00,292.1896424
13047600.00,292.1896424
13047900.00,292.1896424
13048200.00,292.1961407
13048500.00,292.1961407
13048800.00,292.202869
13049100.00,292.202869
13049400.00,292.202869
